wallet_address,EmployeeID,Name,Department,Role,BaseSalary,Attendance (%),WorkHours (avg/week),PerformanceScore (0–100),ProjectCompletionRate (%),BehaviourScore (0–100),SkillScore (0–100),ExperienceYears,TrainingCompleted (Yes/No),CertificationsCount,ReputationScore (weighted composite),AppraisalEligibility (Yes/No),ProposedSalaryIncrement (%),PreviousAppraisals,EmployeeWalletAddress,ReviewerWalletAddress,DAOEligible (Yes/No),appraisal_year,eligible,sbt_token_id,zk_proof_hash,hr_signature
0x0000000000000000000000000000000000000011,EMP1010,QCQYZ GIGUSN,HR,Analyst,63208,98,39,50,89,71,84,20,No,5,59.9,No,0,1,0xf7f413989026e005ded4ba5e13064c90c88e9d35,0x3e4d3277a390088a390c1ea7fccfa68f4865ef85,No,2026,True,11,zkproof_0011_hash,HR_SIGN_0011
0x0000000000000000000000000000000000000012,EMP1011,YNGKE LOPYGK,Marketing,Engineer,68992,63,36,65,86,55,66,17,No,6,57.4,No,0,4,0x8a013348bbb8fdc4cbd00e0bf7300c04c873d4a6,0x591ff2d40a1119be7090e4805eb5a6f75f9dfe6c,No,2026,True,12,zkproof_0012_hash,HR_SIGN_0012
0x0000000000000000000000000000000000000013,EMP1012,ZDLOB OGBMAP,Operations,Lead,62216,98,53,49,74,61,69,1,No,5,53.0,No,0,2,0xa839a215da17a9c09263006c0b95e363c19c2580,0x0ae46e47a72a842c12d7155194136e35ac116f85,No,2026,True,13,zkproof_0013_hash,HR_SIGN_0013
0x0000000000000000000000000000000000000014,EMP1013,AJQBU UVATIY,Finance,Engineer,62171,94,54,6,43,77,90,23,Yes,3,45.1,No,0,2,0xd5f62f03cd8b4d20ec436502e3567b73f665ffdc,0xd226feaba29c7fa8841d7a5ece0f5f713330cae8,No,2026,False,14,zkproof_0014_hash,HR_SIGN_0014
0x0000000000000000000000000000000000000015,EMP1014,ZOEUJ UKCDVP,Engineering,Manager,129584,67,58,40,71,80,70,12,No,3,53.3,No,0,2,0xbf775b6ba57b56614619a2c0c679685a03bddf92,0xb1d8fc2d36676f0d6ee7b0c10483a8558b74f672,No,2026,False,15,zkproof_0015_hash,HR_SIGN_0015
0x0000000000000000000000000000000000000016,EMP1015,SRRQH WWQSYB,HR,Analyst,91332,75,35,87,70,77,40,5,Yes,5,62.7,No,0,4,0xef577d162596932c1f2c5e5cf16a918b2c97ed50,0x190f82c0893f065b6696d3d06224a49522b504f4,No,2026,True,16,zkproof_0016_hash,HR_SIGN_0016
0x0000000000000000000000000000000000000017,EMP1016,LICCB SJMQDG,Finance,Analyst,31790,62,50,32,65,83,80,2,Yes,1,53.5,No,0,4,0x2dfd87091aeb53b8ef353239d336b7bb9bffbde0,0x4f5f3b40e50d849466165a738c92b2677d82a081,No,2026,False,17,zkproof_0017_hash,HR_SIGN_0017
0x0000000000000000000000000000000000000018,EMP1017,MJYSJ QXAGHQ,IT,Analyst,121124,88,49,86,89,51,77,18,Yes,3,68.0,No,0,4,0x5c82ec311897f28c028e3c70e9d5ec41cbf77ac3,0x8761faed6b0389d68cfff020683fd1397d285067,No,2026,True,18,zkproof_0018_hash,HR_SIGN_0018
0x0000000000000000000000000000000000000019,EMP1018,SUCAL RWAIDS,HR,Lead,133744,74,59,56,80,89,67,17,No,4,60.7,No,0,3,0x32f80516ad1505f374831c8fa21dfff68407137a,0x5361cfae3d49016c67898a3768fab8c5f56e54c8,No,2026,True,19,zkproof_0019_hash,HR_SIGN_0019
0x0000000000000000000000000000000000000020,EMP1019,IEQXD HYMVUI,HR,Developer,110856,95,31,31,78,73,44,23,Yes,2,40.4,No,0,3,0xa7a852c3dc229e8eed09622c90faebb9496d8cf4,0xff7c4d55aa39f435b75a578182e7b0e14a1be607,No,2026,False,20,zkproof_0020_hash,HR_SIGN_0020
0x0000000000000000000000000000000000000021,EMP1020,HQOXF APXDCH,R&D,Coordinator,115383,93,39,42,42,85,83,18,Yes,2,58.9,No,0,3,0x072fe9a3ebb880b7cd094e6f90cf4f62dd6bdff7,0x5b757f968a003154a21a4e49b38196aa18e2466c,No,2026,False,21,zkproof_0021_hash,HR_SIGN_0021
0x0000000000000000000000000000000000000022,EMP1021,DNYWU HUABFO,Engineering,Intern,42997,86,43,93,69,67,52,15,Yes,4,66.6,No,0,3,0xb27422332897b428b530da4a10bf0b1900aeb80e,0x2920b0e814207cc70ff9838b006e5bf34099abd0,No,2026,True,22,zkproof_0022_hash,HR_SIGN_0022
0x0000000000000000000000000000000000000023,EMP1022,SPWSZ POYIBB,Marketing,Coordinator,125818,86,39,13,59,92,44,19,Yes,8,37.6,No,0,4,0x6aa20500ca302c2eafe28530478859480d8dc3f1,0xc72a7a74fc1c8590966b8d0ed5a4a37874a34504,No,2026,False,23,zkproof_0023_hash,HR_SIGN_0023
0x0000000000000000000000000000000000000024,EMP1023,QDYXR ORZYVB,Operations,Lead,134366,65,32,52,47,85,43,15,Yes,5,51.2,No,0,2,0xfdcb9a8e336958dcb69ab050e2f5de09de2112b2,0x81c1bdb16b3499bc0f7f0e4740181bad5c38ae6b,No,2026,True,24,zkproof_0024_hash,HR_SIGN_0024
0x0000000000000000000000000000000000000025,EMP1024,RZVIL FFCIGU,Finance,Manager,33430,78,41,23,99,79,91,10,No,0,52.3,No,0,3,0xeecd50d4dc5ba322f6185701bd045a53fa70e538,0xb07196657ac3825b83f4a845f21ff258deaad914,No,2026,False,25,zkproof_0025_hash,HR_SIGN_0025
0x0000000000000000000000000000000000000026,EMP1025,UJVOE ZJUYXQ,HR,Lead,105631,89,33,43,78,94,62,15,No,5,55.1,No,0,3,0x9f870fc1f39e3d01fd8820e888f0c71d21b35e3c,0x81345fd7acfeb8c2d4d528daa38904bc1b13f4b0,No,2026,False,26,zkproof_0026_hash,HR_SIGN_0026
0x0000000000000000000000000000000000000027,EMP1026,AJRKH QCGGZM,Engineering,Analyst,135371,94,48,40,98,88,96,13,No,0,62.4,No,0,2,0x4a690164fccf9adc80adcfac6d3ea8d9f951a7fc,0x5d266fa037a4b0c7cc092be97789213ebd90ed06,No,2026,False,27,zkproof_0027_hash,HR_SIGN_0027
0x0000000000000000000000000000000000000028,EMP1027,SPVVU UHVJBM,Finance,Coordinator,94915,97,48,72,60,59,64,20,Yes,4,60.2,No,0,0,0x05fc3a99720387910ae6849d67a821da9dbfc278,0x27fb93e7848715a5ceed93130800b38e5a769f5d,No,2026,True,28,zkproof_0028_hash,HR_SIGN_0028
0x0000000000000000000000000000000000000029,EMP1028,TPRDP SUOXBE,IT,Analyst,67780,82,40,21,63,70,63,15,No,1,41.4,No,0,3,0x27e9de8821b10f676a5806cee53d64cb0a9c2f8d,0x13121df5796cee3c1b2f245515532835d7c8b072,No,2026,False,29,zkproof_0029_hash,HR_SIGN_0029
0x0000000000000000000000000000000000000030,EMP1029,GVBKN YRBRXW,Engineering,Developer,132649,90,46,46,68,79,73,22,Yes,6,56.7,No,0,4,0x55931362a324bcafb500a21da52878add532c144,0xb58c9f0b0ca5fb1314f4658a5dbbf7ecd86ddd9b,No,2026,False,30,zkproof_0030_hash,HR_SIGN_0030
0x0000000000000000000000000000000000000031,EMP1030,ZTIMW QCNJYR,Finance,Intern,118503,65,54,61,91,77,71,17,No,4,61.5,No,0,3,0x149d152c283fea26409fb29bdd5a6ca6febacb5c,0x0899ce52e7c6633ed1bacad28633b0c0d8584c4f,No,2026,True,31,zkproof_0031_hash,HR_SIGN_0031
0x0000000000000000000000000000000000000032,EMP1031,EJLSX QTGZBV,Engineering,Intern,141409,85,59,18,69,71,84,1,Yes,7,47.3,No,0,0,0x454182d25c536168b1b5d2160a2510e7c22df793,0xcd81c6e076da51d7f02c857656e45d39721f9ca7,No,2026,False,32,zkproof_0032_hash,HR_SIGN_0032
0x0000000000000000000000000000000000000033,EMP1032,VUZMU FKOIBN,Finance,Analyst,37806,80,55,90,80,92,62,24,Yes,0,73.0,Yes,10,1,0x38f907c49c62c76607f47aa353d4a8338822c307,0x30aaa9c028218e491033909d16a604023f61bd94,No,2026,True,33,zkproof_0033_hash,HR_SIGN_0033
0x0000000000000000000000000000000000000034,EMP1033,KHMOT KTBJLJ,Finance,Developer,142892,87,32,42,64,62,94,24,Yes,3,57.7,No,0,1,0x7ce2aa2cc11432d01ab9f9316146c102f18e2800,0xb776875cbcaa93b3d062111cb01aeaa2cf5e95e4,No,2026,False,34,zkproof_0034_hash,HR_SIGN_0034
0x0000000000000000000000000000000000000035,EMP1034,QQUYX PFCSKE,HR,Engineer,111687,79,54,74,78,55,41,24,No,7,53.6,No,0,3,0x56b47e44865b078a45c4767abe168edc8ce18c3e,0x314d09ed4c77866a72c495b69f38e43a7189c3d0,No,2026,True,35,zkproof_0035_hash,HR_SIGN_0035
0x0000000000000000000000000000000000000036,EMP1035,CUTEI HIGNCU,HR,Analyst,48797,96,51,66,50,64,67,6,No,4,59.7,No,0,4,0x5518d1b68bf2278b16cb4279f0074fbca8c4bb73,0x6298ffc404527b32445276fc61a51d4239a9d015,No,2026,True,36,zkproof_0036_hash,HR_SIGN_0036
0x0000000000000000000000000000000000000037,EMP1036,ACAJO IZOYOC,Marketing,Analyst,58029,85,57,50,94,68,87,24,Yes,7,60.4,No,0,2,0xc5a2db571c399774d7d1d6be5e514109f0584f8f,0xcfb9d0c9db7cc0331110cf12afdb74424dafbc06,No,2026,True,37,zkproof_0037_hash,HR_SIGN_0037
0x0000000000000000000000000000000000000038,EMP1037,PBDVF TYNILF,IT,Analyst,59307,98,31,66,87,93,82,6,Yes,4,70.0,No,0,3,0xf7cbc2d6e9d2e0de082deec9e69dfbca1868c53a,0x5555fe76e4ae8888076ba3ab8ff48f2b4cea2542,No,2026,True,38,zkproof_0038_hash,HR_SIGN_0038
0x0000000000000000000000000000000000000039,EMP1038,GBOPQ TLAQJS,Marketing,Developer,122081,60,59,85,86,81,65,13,Yes,0,69.7,No,0,2,0x6c14d7af011f77db449a29cab5300d775f3567cf,0x0858035e132027ae22d663dcfa54b347e034689c,No,2026,True,39,zkproof_0039_hash,HR_SIGN_0039
0x0000000000000000000000000000000000000040,EMP1039,KAQZZ LYSAFP,Finance,Manager,111628,63,58,52,52,51,58,16,No,3,48.7,No,0,3,0xb84ac848c8f04137e00f44a6984e293995ab728d,0xc8d41fd806a08de6ed41f8844fef0c9e5b06ef7b,No,2026,True,40,zkproof_0040_hash,HR_SIGN_0040
0x0000000000000000000000000000000000000041,EMP1040,VSBYO VVGAPV,Marketing,Coordinator,92885,95,40,2,41,68,73,23,Yes,2,36.5,No,0,0,0xdc06ada4e0e49dc8c070fad4c11ec10dcb6d3788,0xab2df1069133def52e46d9607f59bd9a530a1325,No,2026,False,41,zkproof_0041_hash,HR_SIGN_0041
0x0000000000000000000000000000000000000042,EMP1041,PWMJS FTHNFK,Operations,Lead,132201,95,34,66,40,56,54,17,Yes,4,54.2,No,0,3,0xe9e613955a3b61faf6e421026355c5086286a384,0x7764eb26d0448668c8faa6e0818676d6543c1392,No,2026,True,42,zkproof_0042_hash,HR_SIGN_0042
0x0000000000000000000000000000000000000043,EMP1042,QTBIL ULJZZA,Finance,Developer,125618,76,46,38,87,58,49,10,No,4,41.9,No,0,4,0x4b942d4003dd0ff54fc64e3e4cde63cdbe8f6b33,0x716a91564c02394e2bd5d3c45d10a538a6ccc886,No,2026,False,43,zkproof_0043_hash,HR_SIGN_0043
0x0000000000000000000000000000000000000044,EMP1043,NFBLX XDFTSB,R&D,Engineer,65916,85,46,16,49,86,60,10,Yes,7,42.3,No,0,4,0x933aba9c11246abc6de79cac332715b482783a84,0xe37d6e01524edc102a3c6c33f42f709061a47fd7,No,2026,False,44,zkproof_0044_hash,HR_SIGN_0044
0x0000000000000000000000000000000000000045,EMP1044,GRKCZ VSXZBP,R&D,Manager,101417,93,34,91,63,58,50,0,Yes,5,63.5,No,0,4,0xacd40ee3a165f5c18a40b3f235d46589bad4dbec,0xefe231b694c4a76a0257266f1b18157342555bbb,No,2026,True,45,zkproof_0045_hash,HR_SIGN_0045
0x0000000000000000000000000000000000000046,EMP1045,JOLET EZSEWB,HR,Coordinator,33412,90,33,29,85,56,97,0,No,3,52.2,No,0,4,0xf63077d65d9a744d5d1f8edbd38d185e2556d5fe,0xf2b96f4b75bcee5317617e3379e29d51d2897d7c,No,2026,False,46,zkproof_0046_hash,HR_SIGN_0046
0x0000000000000000000000000000000000000047,EMP1046,ZGEJZ TUYPHB,Engineering,Coordinator,84324,61,53,73,64,83,46,15,No,5,60.1,No,0,1,0xe88991ca8964caf19502686af1c5c7e983d36cb7,0x53f8434c10d583013c7a5d801858498c3cb7d356,No,2026,True,47,zkproof_0047_hash,HR_SIGN_0047
0x0000000000000000000000000000000000000048,EMP1047,DSDPX ZGIZGT,Finance,Analyst,138834,96,57,56,68,77,76,19,Yes,2,60.8,No,0,1,0x22e46168a311bfd0c02e977977f1aeff5e3b40b9,0xfbdb5815c58477544c729c825b5cec63dc0ca0c6,No,2026,True,48,zkproof_0048_hash,HR_SIGN_0048
0x0000000000000000000000000000000000000049,EMP1048,CAAHI JYRTRG,HR,Intern,103418,89,56,58,66,92,62,17,Yes,0,60.2,No,0,1,0x97a9c0eaeaf4f4ccdba7f8c6738a0fbf2b7fdde8,0xb60efc26191581ae7c5e02877b34f3e1f49914f7,No,2026,True,49,zkproof_0049_hash,HR_SIGN_0049
0x0000000000000000000000000000000000000050,EMP1049,VPVOQ NQSWZZ,IT,Engineer,122539,70,30,54,95,86,99,8,No,3,68.8,No,0,2,0xdc29db875b60df40045d68932ce6ec3baaf74d35,0xa92efc1df2e4102ddfa554e44cce050af07d7802,No,2026,True,50,zkproof_0050_hash,HR_SIGN_0050
0x0000000000000000000000000000000000000051,EMP1050,LNMKG JUXZAE,Finance,Intern,136805,87,49,25,79,81,41,1,No,0,38.5,No,0,0,0x1a9edce7a1eb9a20440a6f2844359746ff558958,0x715213853c8fb489f4842383376122ec4ea60710,No,2026,False,51,zkproof_0051_hash,HR_SIGN_0051
0x0000000000000000000000000000000000000052,EMP1051,HDCVL JKBHVN,Operations,Intern,85972,76,37,51,51,52,77,23,No,5,54.4,No,0,4,0xcf1d03d2e33a59ad80bca86df7e84b851555e015,0xb23f22d7263d8c1820254dbd1d634092cbcaee72,No,2026,True,52,zkproof_0052_hash,HR_SIGN_0052
0x0000000000000000000000000000000000000053,EMP1052,MRWXW RDKCFE,Engineering,Coordinator,86581,64,35,1,82,98,42,19,Yes,0,32.6,No,0,2,0x83fb6e2556e4deff18e24a05530b6398d7b95ebd,0x17bd06e48446615a244db2f136d558fb134e5dcb,No,2026,False,53,zkproof_0053_hash,HR_SIGN_0053
0x0000000000000000000000000000000000000054,EMP1053,PNNSO FUEZWC,R&D,Lead,103792,96,51,34,92,53,47,8,Yes,4,38.7,No,0,4,0x9fbe3147cfa77a0f68401964a34ac36c1db8b9b0,0x719b135fd63b0472c46d10718cef210ea3d09622,No,2026,False,54,zkproof_0054_hash,HR_SIGN_0054
0x0000000000000000000000000000000000000055,EMP1054,TUXPU HZJNGD,HR,Coordinator,108985,65,52,42,56,60,95,6,Yes,5,57.8,No,0,1,0x08dd645ac102a777e5045ee22708dbc0eafc0333,0x845d6466ab8c50adb5f70b1d29fbe1eadb3b7ee7,No,2026,False,55,zkproof_0055_hash,HR_SIGN_0055
0x0000000000000000000000000000000000000056,EMP1055,NJZZL YIRMIF,Marketing,Engineer,60330,70,37,71,40,74,70,20,Yes,0,64.2,No,0,3,0x1b7c463836ecc4023880cb313425111721c9e886,0xf7248910c3f4163951f64e8c08e7c793e4f06f52,No,2026,True,56,zkproof_0056_hash,HR_SIGN_0056
0x0000000000000000000000000000000000000057,EMP1056,XVOWK CEROQR,Operations,Lead,38281,71,59,48,42,88,57,11,Yes,7,54.6,No,0,3,0x48edc5ac62bd91eb8e275fce5b527ee82f5b8608,0x78be33c7efa6528944e2ea7d1563ca1a048a9338,No,2026,True,57,zkproof_0057_hash,HR_SIGN_0057
0x0000000000000000000000000000000000000058,EMP1057,QSSDN QBMSCT,IT,Developer,141258,93,41,37,45,91,55,16,Yes,2,49.7,No,0,2,0xb72030b81a383108189d68fb636aaab2c7cd79e3,0x9b8c9abbfd6ede6ce0f0bd5966afff59c0db578f,No,2026,False,58,zkproof_0058_hash,HR_SIGN_0058
0x0000000000000000000000000000000000000059,EMP1058,QMAZG TYEUNK,Operations,Intern,127425,84,54,8,62,78,41,8,No,4,31.5,No,0,0,0x547c2765b2ae5dfdcb518d9c69a1fda187bb7455,0x6ad85654e220f5846cb2bbff2bb46246e75135ef,No,2026,False,59,zkproof_0059_hash,HR_SIGN_0059
0x0000000000000000000000000000000000000060,EMP1059,CYHVD SQEJOE,Operations,Manager,139402,73,51,18,61,54,95,11,Yes,0,46.5,No,0,2,0x55b94757ca227e0f4daf1bc6dce740007ef53cf9,0x202e8d751bec42a8f58aaa80ab42b216bc612ef7,No,2026,False,60,zkproof_0060_hash,HR_SIGN_0060
0x0000000000000000000000000000000000000061,EMP1060,SZFOT AUTHDG,Operations,Analyst,33153,70,53,64,42,87,40,13,No,5,55.5,No,0,3,0xfc7963c2803cc4e6375f915ace5935454324d77b,0xe5e9b178bfdcf159c1f76ffee74ad55c47f79e2d,No,2026,True,61,zkproof_0061_hash,HR_SIGN_0061
0x0000000000000000000000000000000000000062,EMP1061,JJTVS OPIDQW,IT,Engineer,94413,63,39,61,41,70,69,11,No,9,60.0,No,0,4,0xe675de0146c9c5e131d541cab74bbe54e87e21f7,0xecd33adee66fffb194fb70bff9d4820076937b65,No,2026,True,62,zkproof_0062_hash,HR_SIGN_0062
0x0000000000000000000000000000000000000063,EMP1062,ULMHN TEZZDP,HR,Coordinator,102289,67,55,58,65,59,68,1,No,9,56.3,No,0,3,0xc88c669ce35de28da870e56e33473603339aac3f,0x5e8be7a49e231dc884198eaad778407af1a2fbbc,No,2026,True,63,zkproof_0063_hash,HR_SIGN_0063
0x0000000000000000000000000000000000000064,EMP1063,MNAYN GLLOAN,Finance,Coordinator,89526,78,36,61,87,98,76,11,Yes,0,66.8,No,0,1,0x1df4b57128b390c5476465c37cb2e86f20b9cc74,0xe0b2792dfa82b8b7545f3c89966faf86f5499675,No,2026,True,64,zkproof_0064_hash,HR_SIGN_0064
0x0000000000000000000000000000000000000065,EMP1064,NOXZS ZFHCZV,HR,Developer,75416,74,44,35,90,52,49,7,Yes,1,39.2,No,0,2,0x67af3d89b3452bce5c3ec101a1c20737b076d694,0x6544bfb4860c918cdc869a172fe09b458eea2945,No,2026,False,65,zkproof_0065_hash,HR_SIGN_0065
0x0000000000000000000000000000000000000066,EMP1065,WMKPS GYBYGE,Marketing,Manager,32682,74,45,6,51,83,70,1,No,6,40.6,No,0,1,0xc932f29dcdb1ae68efc65248c579acb8bbb7b205,0xbe8f224b5ede05fcd461582cd6ade53c5a3a730d,No,2026,False,66,zkproof_0066_hash,HR_SIGN_0066
0x0000000000000000000000000000000000000067,EMP1066,UPOHK UDYWPI,Engineering,Developer,111163,67,55,91,96,62,50,3,No,7,64.5,No,0,0,0x5c1f54f2355211b3fb1b6ac9b307deff89834792,0xce1c63e50bd6158e5ac5c4450178fd8b53e325a2,No,2026,True,67,zkproof_0067_hash,HR_SIGN_0067
0x0000000000000000000000000000000000000068,EMP1067,BCXYZ ULYBBZ,Marketing,Intern,148934,78,52,87,88,59,78,23,Yes,9,70.9,Yes,12,4,0xd07795b46ebd2e60b2a8f9a1cc00084867ec579d,0x60922a59a1e30ae61a6c255d5e89d7dd683fe5ba,No,2026,True,68,zkproof_0068_hash,HR_SIGN_0068
0x0000000000000000000000000000000000000069,EMP1068,JAHOB PQZZVV,Finance,Intern,73895,78,45,49,84,86,90,22,No,6,64.4,No,0,1,0xae495e1e5f4f55793ed3ea628483987a7236507b,0xa78877ec3379bef25f017439b653ab79c0d38a9f,No,2026,True,69,zkproof_0069_hash,HR_SIGN_0069
0x0000000000000000000000000000000000000070,EMP1069,DRSFW VIOTCW,Engineering,Lead,146488,73,48,96,74,95,67,21,No,4,77.9,Yes,6,4,0xdeb2299dd1bf1d0b7f7bc040e1a50a465b12e0db,0xf9dbd77a301c874951ec4e512cc60d5b14f4eb40,Yes,2026,True,70,zkproof_0070_hash,HR_SIGN_0070
0x0000000000000000000000000000000000000071,EMP1070,IKGZM VSTYMQ,IT,Intern,133534,90,34,7,54,78,40,22,Yes,4,30.8,No,0,2,0xcfef07731e3939cb09437a11c199f1583fbb641b,0xb60950265e637451d15e20a5dae4e1cdbfbb1ba5,No,2026,False,71,zkproof_0071_hash,HR_SIGN_0071
0x0000000000000000000000000000000000000072,EMP1071,AIEER DLECIN,Marketing,Lead,47668,84,57,40,96,59,87,16,No,5,54.4,No,0,0,0xe45dc591500c83d8d755b4cbf10bdfb49ea6c3db,0xd13291c47ae6bb307be6551e213ae0d98fe54a24,No,2026,False,72,zkproof_0072_hash,HR_SIGN_0072
0x0000000000000000000000000000000000000073,EMP1072,VLHIZ EZEXCK,Finance,Manager,140476,94,59,22,80,65,79,0,No,2,45.7,No,0,4,0x2e6af3612f6664e3987d74ad3686ee620e284c0f,0xb9680a7241dc5f414c4381ffcd06cba1f95872fa,No,2026,False,73,zkproof_0073_hash,HR_SIGN_0073
0x0000000000000000000000000000000000000074,EMP1073,NHATM VJUDVR,Marketing,Manager,131379,76,58,11,86,82,47,1,No,5,35.4,No,0,1,0xf19cbbcfd7ed06efa63f49bc9eacf4e8a32915dc,0xffe9c248f9f43480b4030de61c874892773ec804,No,2026,False,74,zkproof_0074_hash,HR_SIGN_0074
0x0000000000000000000000000000000000000075,EMP1074,QDZSJ HFAZPR,IT,Analyst,102052,95,55,19,80,73,87,5,No,7,49.0,No,0,0,0x3a3cddfd7eaaa203de30065b6076f5ded0c33e33,0x43a1f85e3bd5bf9071224a4067e59dd92d2d00ac,No,2026,False,75,zkproof_0075_hash,HR_SIGN_0075
0x0000000000000000000000000000000000000076,EMP1075,CEOUA UKSYOY,R&D,Coordinator,113351,70,53,5,77,60,70,13,No,6,35.6,No,0,4,0xf106fbb0ef41e625525755cf8030d3152062b119,0x9dfed33ba76c37c9e49fc798c7aa0ba142bfd7fe,No,2026,False,76,zkproof_0076_hash,HR_SIGN_0076
0x0000000000000000000000000000000000000077,EMP1076,KFGPD QHQJVB,Engineering,Engineer,75121,83,34,72,55,67,70,3,No,7,63.9,No,0,3,0x3abc6549a74e9fc5ad3ce0f8a62901934f20aa08,0xcd420ad8ebfffc38f05cfab7a6c2b20f93c6d6bb,No,2026,True,77,zkproof_0077_hash,HR_SIGN_0077
0x0000000000000000000000000000000000000078,EMP1077,DNONI XFOHQQ,Marketing,Lead,87734,91,58,5,75,53,53,11,Yes,6,29.1,No,0,3,0xf8b0dfea11624fd84cec2b716a10cb942d95fcbc,0x75551a2c42ea890502c4b3dc066f50d25e5ca601,No,2026,False,78,zkproof_0078_hash,HR_SIGN_0078
0x0000000000000000000000000000000000000079,EMP1078,CXSHB WOHKIT,Finance,Intern,148337,90,38,18,79,96,40,21,Yes,3,38.7,No,0,0,0x6d559ec24be9a457051e75ec482857458570dd07,0xda26705f0eff2260bd6b15e697b3d922ea266b24,No,2026,False,79,zkproof_0079_hash,HR_SIGN_0079
0x0000000000000000000000000000000000000080,EMP1079,UWJRA GQWIXO,Engineering,Lead,77201,80,30,61,81,89,74,24,Yes,3,64.7,No,0,1,0x4b66415b396995a34dca2626405e4fb02ec6caf7,0x2c18f89a6ba22b5d1d9b22859d538e23fed517d6,No,2026,True,80,zkproof_0080_hash,HR_SIGN_0080
0x0000000000000000000000000000000000000081,EMP1080,XBFUZ FYKRNG,R&D,Coordinator,30927,93,53,67,61,61,92,19,No,1,66.7,No,0,3,0x4f4d62173febca5b74e654d1b497e1089fc6e1e1,0x3dd1c855d1ee80139a5ab827d943fe8e4ecdf811,No,2026,True,81,zkproof_0081_hash,HR_SIGN_0081
